feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule,selection_status
mkt_chgh,mkt,raw.krx_ets_daily,chgh,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,304,False,False,all_in_finbert_60d,,전일 대비 가격변화,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
mkt_opr,mkt,raw.krx_ets_daily,opr,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,923,False,False,all_in_finbert_60d,,시가,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
mkt_acc_trdval,mkt,raw.krx_ets_daily,acc_trdval,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,2105,False,False,all_in_finbert_60d,,누적 거래대금,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
ext_kospi,ext,raw.macro_indicators,kospi,True,previous_selection_retained_after_target_overlap_gate,2129,0.99859287054409,2112,False,False,all_in_finbert_60d,,KOSPI,외부시장 일별 지표는 해당 시장 관측일 이후 사용 가능하다고 보고 asof_date <= trd_dd로 정렬한다.,selected
ext_value,ext,raw.macro_market_indicator_daily,value,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,2132,False,False,all_in_finbert_60d,,거시시장 지표값,외부시장 일별 지표는 해당 시장 관측일 이후 사용 가능하다고 보고 asof_date <= trd_dd로 정렬한다.,selected
fuel_wti,fuel,raw.oil_daily,wti,True,previous_selection_retained_after_target_overlap_gate,2131,0.99953095684803,1744,False,False,all_in_finbert_60d,,WTI 유가,외부 원자재 월별/일별 값은 원천 frequency에 맞춘 보수적 as-of key로 정렬한다.,selected
nlp_finbert_count_60d,nlp_finbert,runpod_gpu_inference,nlp_kfinbert_article_count_60d,True,previous_selection_retained_after_target_overlap_gate,2116,0.9924953095684804,176,False,False,all_in_finbert_60d,final_main,FinBERT 기사 수 60일 합계,article asof_date <= trd_dd; published_date + 1 calendar day; backward merge_asof; 60d rolling aggregate,selected
wx_stn_max_temp_c,weather,current_pm_final,wx_stn_max_temp_c,True,selected_after_target_overlap_gate,2132,1.0,1322,False,False,all_in_finbert_60d,,관측소 최고기온,기존 `current_pm_final` 생성 규칙을 승계한다. 기상 관측값은 보수적으로 asof_date <= trd_dd 조건에 맞춰 정렬한다.,selected
compliance_deadline_calendar_weight,nlp,features/nlp_final/nlp_final_features.parquet,compliance_deadline_calendar_weight,True,selected_after_target_overlap_gate,2132,1.0,46,False,False,all_in_finbert_60d,,이행마감 달력가중치,"NLP feature package의 as-of 검증 결과를 승계한다. 이행마감 calendar feature는 거래일 기준 사전 정의된 제도 일정만 사용하고, attention feature는 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.",selected
compliance_deadline_attention,nlp,features/nlp_final/nlp_final_features.parquet,compliance_deadline_attention,True,selected_after_target_overlap_gate,2132,1.0,829,False,False,all_in_finbert_60d,,이행마감 관심도,"NLP feature package의 as-of 검증 결과를 승계한다. 이행마감 calendar feature는 거래일 기준 사전 정의된 제도 일정만 사용하고, attention feature는 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.",selected
pwr_renewable_total_gwh,power_energy,current_pm_final,pwr_renewable_total_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,재생에너지 총 발전량,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_installed_capacity_mw,pwr,raw.epsis_power_supply_daily,installed_capacity_mw,True,selected_after_target_overlap_gate,2132,1.0,272,False,False,all_in_finbert_60d,,전력 설비용량,EPSIS 일별 전력수급 피처는 관측일의 다음 calendar day부터 사용 가능하다고 보고 asof_date <= trd_dd 조건으로 backward join한다.,selected
pwr_trade_volume_fuel_cell_gwh,pwr,raw.epsis_power_trade_volume_monthly,trade_volume_fuel_cell_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,연료전지 전력거래량,EPSIS 월별 전력거래량 피처는 다음 달 말 공개 가정을 적용하고 asof_date <= trd_dd 조건으로 정렬한다.,selected
pwr_bio_gwh,power_energy,current_pm_final,pwr_bio_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,바이오 발전량,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_market_ppa_total_gwh,power_energy,current_pm_final,pwr_market_ppa_total_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,시장·PPA 총 전력거래량,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
ext_usdkrw,ext,raw.macro_indicators,usdkrw,True,selected_after_target_overlap_gate,2127,0.99765478424015,2056,False,False,all_in_finbert_60d,,원/달러 환율,외부시장·거시 일별 지표는 해당 시장 관측일 이후 사용 가능하다고 보고 asof_date <= trd_dd 조건으로 정렬한다. live pre-close 사용 시 lag1 전환을 검토한다.,selected
pwr_lng_gwh,power_energy,current_pm_final,pwr_lng_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,LNG 발전량,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_resv_cap_mw,power_energy,current_pm_final,pwr_resv_cap_mw,True,selected_after_target_overlap_gate,2132,1.0,1971,False,False,all_in_finbert_60d,,전력 예비력,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_resv_mgn_pct,power_energy,current_pm_final,pwr_resv_mgn_pct,True,selected_after_target_overlap_gate,2132,1.0,468,False,False,all_in_finbert_60d,,전력 예비율,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
mkt_vol_log1p,market_microstructure,current_pm_final,mkt_vol_log1p,True,selected_after_target_overlap_gate,2132,1.0,1725,False,False,all_in_finbert_60d,,로그 거래량,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
mkt_acc_trdvol,mkt,raw.krx_ets_daily,acc_trdvol,True,selected_after_target_overlap_gate,2132,1.0,1725,False,False,all_in_finbert_60d,,누적거래량,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
pwr_waste_gwh,power_energy,current_pm_final,pwr_waste_gwh,True,selected_after_target_overlap_gate,2128,0.99812382739212,63,False,False,all_in_finbert_60d,,폐기물 발전량,기존 `current_pm_final` 생성 규칙을 승계한다. 전력·발전믹스 계열은 원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
auc_trdcnt,auction,reviewed_addback,krx_auction_monthly__acc_trdcnt,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,9,False,False,selected_curated_addback,selected,경매 체결건수,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_part_cnt,auction,reviewed_addback,krx_auction_monthly__auct_trd_partc_cnt,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,13,False,False,selected_curated_addback,selected,경매 참여자수,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_trd_qty,auction,reviewed_addback,krx_auction_monthly__auct_trd_qty,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,76,False,False,selected_curated_addback,selected,경매 거래수량,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_trd_rto,auction,reviewed_addback,krx_auction_monthly__auct_trd_rto,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,57,False,False,selected_curated_addback,selected,경매 낙찰률,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_appl_qty,auction,reviewed_addback,krx_auction_monthly__onewayauct_appl_qty,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,34,False,False,selected_curated_addback,selected,경매 응찰수량,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_hgst_ord_prc,auction,reviewed_addback,krx_auction_monthly__hgst_ord_prc,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,71,False,False,selected_curated_addback,selected,경매 최고 주문가격,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
auc_lwst_ord_prc,auction,reviewed_addback,krx_auction_monthly__lwst_ord_prc,True,reviewed_addback_after_selected107_review,1716,0.8048780487804879,60,False,False,selected_curated_addback,selected,경매 최저 주문가격,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
mkt_n_vintages,market_microstructure,reviewed_addback,mkt_n_vintages,True,reviewed_addback_after_selected107_review,2132,1.0,3,False,False,selected_curated_addback,selected,거래 vintage 수,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
mkt_is_blended,market_microstructure,reviewed_addback,mkt_is_blended,True,reviewed_addback_after_selected107_review,2132,1.0,2,False,False,selected_curated_addback,selected,복수 vintage 거래 여부,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
mkt_vwap_range,market_microstructure,reviewed_addback,mkt_vwap_range,True,reviewed_addback_after_selected107_review,2132,1.0,218,False,False,selected_curated_addback,selected,vintage 간 VWAP 범위,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
pwr_smp_total_krwkwh,power_energy,reviewed_addback,epsis_smp_monthly__smp_total_krw_per_kwh,True,reviewed_addback_after_selected107_review,2128,0.99812382739212,122,False,False,selected_curated_addback,selected,통합 SMP,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
pwr_smp_land_krwkwh,power_energy,reviewed_addback,epsis_smp_monthly__smp_land_krw_per_kwh,True,reviewed_addback_after_selected107_review,2128,0.99812382739212,124,False,False,selected_curated_addback,selected,육지 SMP,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
fuel_lng_krwkwh,power_energy,reviewed_addback,epsis_fuel_cost_monthly__fuel_cost_lng_krw_per_kwh,True,reviewed_addback_after_selected107_review,2128,0.99812382739212,124,False,False,selected_curated_addback,selected,LNG 연료비,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
wx_stn_cdd18,weather,reviewed_addback,kma_asos_weather_station_daily__cdd18,True,reviewed_addback_after_selected107_review,2132,1.0,696,False,False,selected_curated_addback,selected,관측소 냉방도일,원천 공시/거래일 기준으로 trd_dd 이전 또는 해당 거래일 관측 가능한 값만 사용한다. market_vwap/log/lag level은 target construction overlap으로 제외한다.,selected_addback
mkt_vwap_lag1,market_microstructure,reviewed_addback,mkt_market_vwap_lag_1d,True,reviewed_addback_vwap_lag_after_review,2131,0.99953095684803,1906,False,False,selected_curated_addback,selected,시장 VWAP 1일 시차,과거 거래일의 시장 VWAP 시차값만 사용한다. 현재일 market_vwap 및 log_market_vwap은 target denominator와 중복되어 제외한다.,selected_addback
mkt_vwap_lag5,market_microstructure,reviewed_addback,mkt_market_vwap_lag_5d,True,reviewed_addback_vwap_lag_after_review,2127,0.99765478424015,1902,False,False,selected_curated_addback,selected,시장 VWAP 5일 시차,과거 거래일의 시장 VWAP 시차값만 사용한다. 현재일 market_vwap 및 log_market_vwap은 target denominator와 중복되어 제외한다.,selected_addback
mkt_vwap_lag20,market_microstructure,reviewed_addback,mkt_market_vwap_lag_20d,True,reviewed_addback_vwap_lag_after_review,2112,0.9906191369606004,1887,False,False,selected_curated_addback,selected,시장 VWAP 20일 시차,과거 거래일의 시장 VWAP 시차값만 사용한다. 현재일 market_vwap 및 log_market_vwap은 target denominator와 중복되어 제외한다.,selected_addback
mkt_vwap_lag60,market_microstructure,reviewed_addback,mkt_market_vwap_lag_60d,True,reviewed_addback_vwap_lag_after_review,2072,0.9718574108818012,1847,False,False,selected_curated_addback,selected,시장 VWAP 60일 시차,과거 거래일의 시장 VWAP 시차값만 사용한다. 현재일 market_vwap 및 log_market_vwap은 target denominator와 중복되어 제외한다.,selected_addback
